tag_id,model_family,model_task,inputs,outputs,metric,threshold,abstain_rule
env.ae.artworks_prominent,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.barriers/guards_present,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.clear_circulation_paths,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.clear_sightlines,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.compartmentalized_plan,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.complex_geometry,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.concrete_prominent,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.cool_color_palette,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.curvilinear_forms,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.daylighting,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.fans_visible,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.glass_prominent,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.high_color_entropy,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.high_edge_density,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.high_seating_density,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.indoor_plants,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.large_enclosure_volume,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.large_window_area,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.low_edge_density,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.low_spatial_frequency_content,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.naturalistic_forms,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.rectilinear_forms,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.repeating_pattern,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.strong_horizontality,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
env.ae.view_to_outdoors,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
material.glass_coverage,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
material.metal_coverage,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
material.wood_coverage,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
materials.cues.brightness_mean,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
materials.cues.saturation_mean,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
materials.cues.specularity_proxy,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
materials.cues.texture_variance,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
materials.substrate.plaster_gypsum,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
materials.substrate.stone_concrete,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
materials.substrate.tile_ceramic,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
social.occupancy,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
social.privacy,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
social.sociopetal,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
spatial.central_openness,layout_estimation;depth_estimation,depth + layout estimation,image,"depth_map, layout_lines",RMSE + IoU,metric_confidence>=0.6,incomplete room boundaries
spatial.depth_contrast,layout_estimation;depth_estimation,depth + layout estimation,image,"depth_map, layout_lines",RMSE + IoU,metric_confidence>=0.6,incomplete room boundaries
spatial.depth_mean,layout_estimation;depth_estimation,depth + layout estimation,image,"depth_map, layout_lines",RMSE + IoU,metric_confidence>=0.6,incomplete room boundaries
spatial.isovist_openness,layout_estimation;depth_estimation,depth + layout estimation,image,"depth_map, layout_lines",RMSE + IoU,metric_confidence>=0.6,incomplete room boundaries
spatial.refuge_quality,layout_estimation;depth_estimation,depth + layout estimation,image,"depth_map, layout_lines",RMSE + IoU,metric_confidence>=0.6,incomplete room boundaries
spatial.room_function.bathroom,layout_estimation;depth_estimation,depth + layout estimation,image,"depth_map, layout_lines",RMSE + IoU,metric_confidence>=0.6,incomplete room boundaries
spatial.room_function.bedroom,layout_estimation;depth_estimation,depth + layout estimation,image,"depth_map, layout_lines",RMSE + IoU,metric_confidence>=0.6,incomplete room boundaries
spatial.room_function.home_office,layout_estimation;depth_estimation,depth + layout estimation,image,"depth_map, layout_lines",RMSE + IoU,metric_confidence>=0.6,incomplete room boundaries
spatial.room_function.kitchen,layout_estimation;depth_estimation,depth + layout estimation,image,"depth_map, layout_lines",RMSE + IoU,metric_confidence>=0.6,incomplete room boundaries
spatial.room_function.living_room,layout_estimation;depth_estimation,depth + layout estimation,image,"depth_map, layout_lines",RMSE + IoU,metric_confidence>=0.6,incomplete room boundaries
spatial.visual_clutter,layout_estimation;depth_estimation,depth + layout estimation,image,"depth_map, layout_lines",RMSE + IoU,metric_confidence>=0.6,incomplete room boundaries
style.bohemian,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
style.farmhouse,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
style.industrial,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
style.japandi,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
style.mid_century_modern,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
style.minimalist,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
style.modern,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
style.modernity,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
style.rustic,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
style.scandinavian,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
style.traditional,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
texture.macro.contrast,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
texture.macro.homogeneity,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
texture.micro.contrast,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
texture.micro.homogeneity,depth_estimation;layout_estimation,depth/layout estimation,image + depth,geometry metrics,MAE,confidence>=0.6,no reliable depth or layout data
