tag_id,canonical_name,relation_count,audit_alias_count,completeness_score,bucket,missing_fields,has_def_short,has_def_long,alias_count,pos_examples_count,neg_examples_count,scope_includes_count,scope_excludes_count,has_notes_2d,has_notes_3d
env.ae.clear_circulation_paths,Clear Circulation Paths,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.clear_exits/wayfinding_signage,Clear Exits/Wayfinding Signage,2,10,100,P2,,True,True,10,3,3,5,3,True,True
env.ae.clear_sightlines,Clear Sightlines,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.commercial_branding,Commercial Branding,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.ae.compartmentalized_plan,Compartmentalized Plan,2,8,100,P2,,True,True,8,3,3,3,3,True,True
env.ae.complex_geometry,Complex Geometry,2,8,100,P2,,True,True,8,3,3,5,3,True,True
env.ae.concrete_prominent,Concrete Prominent,2,8,100,P2,,True,True,8,3,3,3,3,True,True
env.ae.cool_color_palette,Cool Color Palette,2,9,100,P2,,True,True,9,3,3,3,3,True,True
env.ae.cool_lighting_(high_cct),Cool Lighting (High CCT),2,9,100,P2,,True,True,9,3,3,3,3,True,True
env.ae.crowded_space,Crowded Space,2,8,100,P2,,True,True,8,3,3,3,3,True,True
env.ae.curvilinear_forms,Curvilinear Forms,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.ae.daylighting,Daylighting,2,8,100,P2,,True,True,8,3,3,3,3,True,True
env.ae.dynamic_lighting,Dynamic Lighting,2,10,100,P2,,True,True,10,3,3,4,3,True,True
env.ae.fans_visible,Fans Visible,2,8,100,P2,,True,True,8,3,3,3,3,True,True
env.ae.fractal-like_pattern,Fractal-Like Pattern,2,9,100,P2,,True,True,9,3,3,3,3,True,True
env.ae.glare_present,Glare Present,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.glass_prominent,Glass Prominent,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.ae.hard_reflective_surfaces,Hard Reflective Surfaces,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.hard_seating,Hard Seating,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.ae.hazard_indicators,Hazard Indicators,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.ae.high_ceiling,High Ceiling,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.high_ceiling_+_hard_surfaces,High Ceiling + Hard Surfaces,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.high_cleanliness,High Cleanliness,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.high_clutter,High Clutter,2,9,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.high_color_contrast,High Color Contrast,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.high_color_entropy,High Color Entropy,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.high_contrast_lighting,High Contrast Lighting,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.high_edge_density,High Edge Density,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.high_fractal_dimension_(2d),High Fractal Dimension (2D),2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.high_illuminance,High Illuminance,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.ae.high_orderliness,High Orderliness,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.ae.high_saturation,High Saturation,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.high_seating_density,High Seating Density,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.high_spatial_frequency_content,High Spatial Frequency Content,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.high_symmetry,High Symmetry,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.high_texture_complexity,High Texture Complexity,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.home-like_decor,Home-like Decor,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.indoor-outdoor_continuity,Indoor-Outdoor Continuity,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.indoor_plants,Indoor Plants,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.ae.institutional_decor,Institutional Decor,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.irregular_pattern,Irregular Pattern,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.large_enclosure_volume,Large Enclosure Volume,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.large_window_area,Large Window Area,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.low_ceiling,Low Ceiling,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.low_edge_density,Low Edge Density,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.low_illuminance,Low Illuminance,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.low_orderliness,Low Orderliness,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.low_saturation,Low Saturation,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.low_spatial_frequency_content,Low Spatial Frequency Content,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.low_symmetry,Low Symmetry,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.low_texture_complexity,Low Texture Complexity,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.maze-like_layout,Maze-Like Layout,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.metal_prominent,Metal Prominent,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.minimal_signage,Minimal Signage,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.monochrome/minimal_palette,Monochrome/Minimal Palette,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.ae.narrow_corridor,Narrow Corridor,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.natural/earthy_palette,Natural/Earthy Palette,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.naturalistic_forms,Naturalistic Forms,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.ae.nature_imagery,Nature Imagery,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.occluded_sightlines,Occluded Sightlines,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.open_plan,Open Plan,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.open_windows,Open Windows,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.poor_visibility_/_dark_corners,Poor Visibility / Dark Corners,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.private/enclosed_niche,Private/Enclosed Niche,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.ae.public/exposed_area,Public/Exposed Area,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.rectilinear_forms,Rectilinear Forms,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.religious_symbols,Religious Symbols,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.ae.repeating_pattern,Repeating Pattern,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.seating_available,Seating Available,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.soft_acoustic_treatments,Soft Acoustic Treatments,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.soft_seating,Soft Seating,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.ae.sparse_occupancy,Sparse Occupancy,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.stone/marble_prominent,Stone/Marble Prominent,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.ae.strong_central_landmark,Strong Central Landmark,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.strong_horizontality,Strong Horizontality,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.strong_verticality,Strong Verticality,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.surveillance_/_cameras_visible,Surveillance / Cameras Visible,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.text/information_density_high,Text/Information Density High,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.textiles/soft_furnishings,Textiles/Soft Furnishings,2,10,100,P2,,True,True,10,3,3,4,3,True,True
env.ae.uniform_lighting,Uniform Lighting,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.view_to_outdoors,View to Outdoors,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.visible_dirt/decay,Visible Dirt/Decay,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.ae.visible_hvac_vents,Visible HVAC Vents,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.visible_windows,Visible Windows,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.warm_color_palette,Warm Color Palette,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.warm_lighting,Warm Lighting,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.well_maintained,Well Maintained,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.wood_prominent,Wood Prominent,2,8,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.work_surfaces_present,Work Surfaces Present,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.ae.worn/degraded,Worn/Degraded,2,9,100,P2,,True,True,9,3,3,4,3,True,True
env.v1_001.illuminance_level_task_surface,Illuminance level (task surface),0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_002.illuminance_level_ambient,Illuminance level (ambient),0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_003.luminance_distribution,Luminance distribution,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_004.contrast_ratio,Contrast ratio,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_005.uniformity_ratio,Uniformity ratio,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_006.daylight_factor,Daylight factor,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_007.daylight_autonomy,Daylight autonomy,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_008.correlated_color_temperature_cct,Correlated color temperature (CCT),0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_009.spectral_power_distribution,Spectral power distribution,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_010.color_rendering_index_cri,Color rendering index (CRI),0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_011.melanopic_lux,Melanopic lux,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_012.dominant_wavelength,Dominant wavelength,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_013.flicker_frequency,Flicker frequency,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_014.flicker_modulation_depth,Flicker modulation depth,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_015.circadian_timing_of_exposure,Circadian timing of exposure,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_016.rate_of_illuminance_change,Rate of illuminance change,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_017.diurnal_variation_pattern,Diurnal variation pattern,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_018.direct_indirect_ratio,Direct/indirect ratio,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_019.light_directionality,Light directionality,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_020.unified_glare_rating_ugr,Unified Glare Rating (UGR),0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_021.shadow_characteristics,Shadow characteristics,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_022.natural_artificial_ratio,Natural/artificial ratio,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_023.point_vs_diffuse_illumination,Point vs. diffuse illumination,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_024.window_sky_type_visible,Window/sky type visible,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_025.solar_penetration_depth,Solar penetration depth,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_026.view_to_exterior,View to exterior,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_090.ceiling_height,Ceiling height,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_091.room_volume,Room volume,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_092.floor_area,Floor area,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_093.aspect_ratios,Aspect ratios,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_094.degree_of_enclosure,Degree of enclosure,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_095.boundary_definition,Boundary definition,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_096.visual_permeability,Visual permeability,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_097.spatial_layering,Spatial layering,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_098.visual_access_extent,Visual access extent,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_099.prospect_quality,Prospect quality,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_100.refuge_degree,Refuge degree,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_101.prospect_refuge_balance,Prospect-refuge balance,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_102.defensible_space,Defensible space,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_103.plan_complexity,Plan complexity,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_104.spatial_hierarchy,Spatial hierarchy,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_105.wayfinding_affordances,Wayfinding affordances,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_106.mystery,Mystery,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_107.coherence,Coherence,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_108.legibility,Legibility,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_109.angular_vs_curvilinear,Angular vs. curvilinear,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_110.symmetry,Symmetry,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_111.proportion,Proportion,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_112.fractal_dimension,Fractal dimension,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_113.self_similarity_scale_range,Self-similarity scale range,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_114.visual_entropy,Visual entropy,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_115.edge_density,Edge density,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_116.color_diversity,Color diversity,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_117.element_count,Element count,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_118.visual_noise,Visual noise,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_119.pattern_regularity,Pattern regularity,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_120.figure_ground_clarity,Figure-ground clarity,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_121.visual_hierarchy,Visual hierarchy,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_122.vegetation_density,Vegetation density,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_123.vegetation_diversity,Vegetation diversity,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_124.water_features,Water features,2,7,100,P2,,True,True,8,3,3,4,3,True,True
env.v1_125.sky_visibility,Sky visibility,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_126.natural_landforms,Natural landforms,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_127.view_distance_layers,View distance layers,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_128.nature_vs_urban_view,Nature vs. urban view,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_129.natural_material_proportion,Natural material proportion,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.v1_130.biomimetic_forms,Biomimetic forms,0,0,100,P2,,True,True,8,3,3,3,3,True,True
