tag_id,evidence_type,model_families
biophilia.plant_count,image_3d,depth_estimation;layout_estimation;multi_view_geometry
color.lightness_contrast,image_3d,depth_estimation;layout_estimation;multi_view_geometry
color.luminance,image_3d,depth_estimation;layout_estimation;multi_view_geometry
color.perceptual_lightness,image_3d,depth_estimation;layout_estimation;multi_view_geometry
color.saturation,image_3d,depth_estimation;layout_estimation;multi_view_geometry
color.warmth,image_3d,depth_estimation;layout_estimation;multi_view_geometry
color.warmth_ratio,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.bathroom.fixture.material.brass,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.bathroom.fixture.material.matte_black,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.bathroom.fixture.type.rain_showerhead,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.ceiling.coffered,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.ceiling.cove_lighting,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.ceiling.exposed_beam,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.ceiling.tray,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.ceiling.vaulted,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.kitchen.hardware.material.brass,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.kitchen.hardware.material.chrome,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.kitchen.hardware.material.matte_black,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.kitchen.hardware.type.bar_pull,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.kitchen.hardware.type.handleless,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.kitchen.hardware.type.knob,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.wall.material.brick_exposed,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.wall.material.stone_wall,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.wall.material.wood_slat,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.wall.treatment.wainscoting,image_3d,depth_estimation;layout_estimation;multi_view_geometry
component.wall.treatment.wallpaper_patterned,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.artworks_prominent,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.barriers/guards_present,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.clear_circulation_paths,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.clear_sightlines,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.compartmentalized_plan,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.complex_geometry,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.concrete_prominent,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.cool_color_palette,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.curvilinear_forms,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.daylighting,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.fans_visible,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.glass_prominent,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.high_color_entropy,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.high_edge_density,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.high_seating_density,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.indoor_plants,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.large_enclosure_volume,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.large_window_area,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.low_edge_density,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.low_spatial_frequency_content,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.naturalistic_forms,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.rectilinear_forms,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.repeating_pattern,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.strong_horizontality,image_3d,depth_estimation;layout_estimation;multi_view_geometry
env.ae.view_to_outdoors,image_3d,depth_estimation;layout_estimation;multi_view_geometry
material.glass_coverage,image_3d,depth_estimation;layout_estimation;multi_view_geometry
material.metal_coverage,image_3d,depth_estimation;layout_estimation;multi_view_geometry
material.wood_coverage,image_3d,depth_estimation;layout_estimation;multi_view_geometry
materials.cues.brightness_mean,image_3d,depth_estimation;layout_estimation;multi_view_geometry
materials.cues.saturation_mean,image_3d,depth_estimation;layout_estimation;multi_view_geometry
materials.cues.specularity_proxy,image_3d,depth_estimation;layout_estimation;multi_view_geometry
materials.cues.texture_variance,image_3d,depth_estimation;layout_estimation;multi_view_geometry
materials.substrate.plaster_gypsum,image_3d,depth_estimation;layout_estimation;multi_view_geometry
materials.substrate.stone_concrete,image_3d,depth_estimation;layout_estimation;multi_view_geometry
materials.substrate.tile_ceramic,image_3d,depth_estimation;layout_estimation;multi_view_geometry
social.occupancy,image_3d,depth_estimation;layout_estimation;multi_view_geometry
social.privacy,image_3d,depth_estimation;layout_estimation;multi_view_geometry
social.sociopetal,image_3d,depth_estimation;layout_estimation;multi_view_geometry
spatial.central_openness,image_3d,depth_estimation;layout_estimation;multi_view_geometry
spatial.depth_contrast,image_3d,depth_estimation;layout_estimation;multi_view_geometry
spatial.depth_mean,image_3d,depth_estimation;layout_estimation;multi_view_geometry
spatial.isovist_openness,image_3d,depth_estimation;layout_estimation;multi_view_geometry
spatial.refuge_quality,image_3d,depth_estimation;layout_estimation;multi_view_geometry
spatial.room_function.bathroom,image_3d,depth_estimation;layout_estimation;multi_view_geometry
spatial.room_function.bedroom,image_3d,depth_estimation;layout_estimation;multi_view_geometry
spatial.room_function.home_office,image_3d,depth_estimation;layout_estimation;multi_view_geometry
spatial.room_function.kitchen,image_3d,depth_estimation;layout_estimation;multi_view_geometry
spatial.room_function.living_room,image_3d,depth_estimation;layout_estimation;multi_view_geometry
spatial.visual_clutter,image_3d,depth_estimation;layout_estimation;multi_view_geometry
style.bohemian,image_3d,depth_estimation;layout_estimation;multi_view_geometry
style.farmhouse,image_3d,depth_estimation;layout_estimation;multi_view_geometry
style.industrial,image_3d,depth_estimation;layout_estimation;multi_view_geometry
style.japandi,image_3d,depth_estimation;layout_estimation;multi_view_geometry
style.mid_century_modern,image_3d,depth_estimation;layout_estimation;multi_view_geometry
style.minimalist,image_3d,depth_estimation;layout_estimation;multi_view_geometry
style.modern,image_3d,depth_estimation;layout_estimation;multi_view_geometry
style.modernity,image_3d,depth_estimation;layout_estimation;multi_view_geometry
style.rustic,image_3d,depth_estimation;layout_estimation;multi_view_geometry
style.scandinavian,image_3d,depth_estimation;layout_estimation;multi_view_geometry
style.traditional,image_3d,depth_estimation;layout_estimation;multi_view_geometry
texture.macro.contrast,image_3d,depth_estimation;layout_estimation;multi_view_geometry
texture.macro.homogeneity,image_3d,depth_estimation;layout_estimation;multi_view_geometry
texture.micro.contrast,image_3d,depth_estimation;layout_estimation;multi_view_geometry
texture.micro.homogeneity,image_3d,depth_estimation;layout_estimation;multi_view_geometry
affect.cozy,metadata,annotation_review;survey_data;user_reports
affect.jarring,metadata,annotation_review;survey_data;user_reports
affect.scary,metadata,annotation_review;survey_data;user_reports
affect.tranquil,metadata,annotation_review;survey_data;user_reports
affect.welcoming,metadata,annotation_review;survey_data;user_reports
cognitive.coherence,metadata,annotation_review;survey_data;user_reports
cognitive.complexity,metadata,annotation_review;survey_data;user_reports
cognitive.error,metadata,annotation_review;survey_data;user_reports
cognitive.legibility,metadata,annotation_review;survey_data;user_reports
cognitive.mystery,metadata,annotation_review;survey_data;user_reports
cognitive.restoration,metadata,annotation_review;survey_data;user_reports
env.ae.high_ceiling,metadata,annotation_review;survey_data;user_reports
env.ae.high_ceiling_+_hard_surfaces,metadata,annotation_review;survey_data;user_reports
env.ae.low_ceiling,metadata,annotation_review;survey_data;user_reports
provenance.architect_kengo_kuma,metadata,annotation_review;survey_data;user_reports
provenance.architect_le_corbusier,metadata,annotation_review;survey_data;user_reports
provenance.iconic_chair_barcelona,metadata,annotation_review;survey_data;user_reports
provenance.iconic_chair_eames,metadata,annotation_review;survey_data;user_reports
psych.coziness,metadata,annotation_review;survey_data;user_reports
tag.evidence_pointer,metadata,annotation_review;survey_data;user_reports
tag.request_source,metadata,annotation_review;survey_data;user_reports
cnfa.biophilic.natural_material_ratio,sensor,sensor_generic
cnfa.cognitive.activity_zones_count,sensor,sensor_generic
cnfa.cognitive.landmark_salience,sensor,sensor_generic
cnfa.cognitive.legibility_score,sensor,sensor_generic
cnfa.depth.depth_variance,sensor,sensor_generic
cnfa.depth.mean_depth,sensor,sensor_generic
cnfa.dynamic.optic_flow_magnitude,sensor,sensor_generic
cnfa.dynamic.path_glare_max,sensor,sensor_generic
cnfa.dynamic.reflection_flow,sensor,sensor_generic
cnfa.dynamic.revelation_rate,sensor,sensor_generic
cnfa.dynamic.texture_gradient,sensor,sensor_generic
cnfa.fluency.anomaly_count,sensor,sensor_generic
cnfa.fluency.autoencoder_recon_error,sensor,sensor_generic
cnfa.fluency.clutter_density_count,sensor,sensor_generic
cnfa.fluency.color_palette_entropy,sensor,sensor_generic
cnfa.fluency.compression_ratio,sensor,sensor_generic
cnfa.fluency.edge_clarity_mean,sensor,sensor_generic
cnfa.fluency.figure_ground_clarity,sensor,sensor_generic
cnfa.fluency.hierarchy_depth,sensor,sensor_generic
cnfa.fluency.map.edge_density,sensor,sensor_generic
cnfa.fluency.map.fractal_dimension,sensor,sensor_generic
cnfa.fluency.map.spatial_entropy,sensor,sensor_generic
cnfa.fluency.map.symmetry,sensor,sensor_generic
cnfa.fluency.pattern_rhythm_regularity,sensor,sensor_generic
cnfa.fluency.processing_load_proxy,sensor,sensor_generic
cnfa.fluency.surprisal_mean,sensor,sensor_generic
cnfa.fluency.symmetry_score_horizontal,sensor,sensor_generic
cnfa.fluency.visual_entropy_spatial,sensor,sensor_generic
cnfa.fluency.zoning_clarity,sensor,sensor_generic
cnfa.fractal.lacunarity,sensor,sensor_generic
cnfa.fractal.multifractal_width,sensor,sensor_generic
cnfa.fractal.spectral_slope_1overf,sensor,sensor_generic
cnfa.fractal_dimension,sensor,sensor_generic
cnfa.fractal_dimension_edges,sensor,sensor_generic
cnfa.fractal_dimension_luminance,sensor,sensor_generic
cnfa.geometry.curvature_index,sensor,sensor_generic
cnfa.geometry.fractal_curve_intersection,sensor,sensor_generic
cnfa.geometry.rectilinearity_index,sensor,sensor_generic
cnfa.haptic.soft_surface_ratio,sensor,sensor_generic
cnfa.haptic.texture_variation_index,sensor,sensor_generic
cnfa.layout.opening_ratio,sensor,sensor_generic
cnfa.light.brightness_variance,sensor,sensor_generic
cnfa.light.diffuse_vs_direct_ratio,sensor,sensor_generic
cnfa.light.vertical_illuminance_proxy,sensor,sensor_generic
cnfa.light.warm_vs_cool_ratio,sensor,sensor_generic
cnfa.spatial.ceiling_height_avg,sensor,sensor_generic
cnfa.spatial.enclosure_index,sensor,sensor_generic
cnfa.spatial.prospect_to_refuge_ratio,sensor,sensor_generic
color.lab_volume,sensor,sensor_generic
complexity.edge_density,sensor,sensor_generic
complexity.shannon_entropy,sensor,sensor_generic
complexity.spatial_entropy,sensor,sensor_generic
env.ae.clear_exits/wayfinding_signage,sensor,sensor_generic
env.ae.cool_lighting_(high_cct),sensor,sensor_generic
env.ae.dynamic_lighting,sensor,sensor_generic
env.ae.hazard_indicators,sensor,sensor_generic
env.ae.high_clutter,sensor,sensor_generic
env.ae.irregular_pattern,sensor,sensor_generic
env.ae.maze-like_layout,sensor,sensor_generic
env.ae.minimal_signage,sensor,sensor_generic
env.ae.religious_symbols,sensor,sensor_generic
env.ae.seating_available,sensor,sensor_generic
env.ae.soft_acoustic_treatments,sensor,sensor_generic
env.ae.text/information_density_high,sensor,sensor_generic
env.ae.visible_hvac_vents,sensor,sensor_generic
env.ae.warm_lighting,sensor,sensor_generic
env.v1_001.illuminance_level_task_surface,sensor,sensor_generic
env.v1_002.illuminance_level_ambient,sensor,sensor_generic
env.v1_003.luminance_distribution,sensor,sensor_generic
env.v1_004.contrast_ratio,sensor,sensor_generic
env.v1_005.uniformity_ratio,sensor,sensor_generic
env.v1_006.daylight_factor,sensor,sensor_generic
env.v1_007.daylight_autonomy,sensor,sensor_generic
env.v1_008.correlated_color_temperature_cct,sensor,sensor_generic
env.v1_009.spectral_power_distribution,sensor,sensor_generic
env.v1_010.color_rendering_index_cri,sensor,sensor_generic
env.v1_011.melanopic_lux,sensor,sensor_generic
env.v1_012.dominant_wavelength,sensor,sensor_generic
env.v1_013.flicker_frequency,sensor,sensor_generic
env.v1_014.flicker_modulation_depth,sensor,sensor_generic
env.v1_015.circadian_timing_of_exposure,sensor,sensor_generic
env.v1_016.rate_of_illuminance_change,sensor,sensor_generic
env.v1_017.diurnal_variation_pattern,sensor,sensor_generic
env.v1_018.direct_indirect_ratio,sensor,sensor_generic
env.v1_019.light_directionality,sensor,sensor_generic
env.v1_020.unified_glare_rating_ugr,sensor,sensor_generic
env.v1_021.shadow_characteristics,sensor,sensor_generic
env.v1_022.natural_artificial_ratio,sensor,sensor_generic
env.v1_024.window_sky_type_visible,sensor,sensor_generic
env.v1_025.solar_penetration_depth,sensor,sensor_generic
env.v1_026.view_to_exterior,sensor,sensor_generic
env.v1_090.ceiling_height,sensor,sensor_generic
env.v1_091.room_volume,sensor,sensor_generic
env.v1_092.floor_area,sensor,sensor_generic
env.v1_093.aspect_ratios,sensor,sensor_generic
env.v1_094.degree_of_enclosure,sensor,sensor_generic
env.v1_095.boundary_definition,sensor,sensor_generic
env.v1_096.visual_permeability,sensor,sensor_generic
env.v1_097.spatial_layering,sensor,sensor_generic
env.v1_098.visual_access_extent,sensor,sensor_generic
env.v1_099.prospect_quality,sensor,sensor_generic
env.v1_100.refuge_degree,sensor,sensor_generic
env.v1_101.prospect_refuge_balance,sensor,sensor_generic
env.v1_102.defensible_space,sensor,sensor_generic
env.v1_103.plan_complexity,sensor,sensor_generic
env.v1_104.spatial_hierarchy,sensor,sensor_generic
env.v1_105.wayfinding_affordances,sensor,sensor_generic
env.v1_106.mystery,sensor,sensor_generic
env.v1_107.coherence,sensor,sensor_generic
env.v1_108.legibility,sensor,sensor_generic
env.v1_110.symmetry,sensor,sensor_generic
env.v1_111.proportion,sensor,sensor_generic
env.v1_112.fractal_dimension,sensor,sensor_generic
env.v1_113.self_similarity_scale_range,sensor,sensor_generic
env.v1_114.visual_entropy,sensor,sensor_generic
env.v1_115.edge_density,sensor,sensor_generic
env.v1_116.color_diversity,sensor,sensor_generic
env.v1_117.element_count,sensor,sensor_generic
env.v1_118.visual_noise,sensor,sensor_generic
env.v1_119.pattern_regularity,sensor,sensor_generic
env.v1_120.figure_ground_clarity,sensor,sensor_generic
env.v1_121.visual_hierarchy,sensor,sensor_generic
env.v1_122.vegetation_density,sensor,sensor_generic
env.v1_123.vegetation_diversity,sensor,sensor_generic
env.v1_125.sky_visibility,sensor,sensor_generic
env.v1_126.natural_landforms,sensor,sensor_generic
env.v1_127.view_distance_layers,sensor,sensor_generic
env.v1_129.natural_material_proportion,sensor,sensor_generic
env.v1_130.biomimetic_forms,sensor,sensor_generic
env.v1_131.natural_light_patterns,sensor,sensor_generic
env.v1_132.spatial_density,sensor,sensor_generic
env.v1_133.social_density,sensor,sensor_generic
env.v1_134.perceived_crowding,sensor,sensor_generic
env.v1_135.visual_privacy,sensor,sensor_generic
env.v1_136.acoustic_privacy,sensor,sensor_generic
env.v1_137.territorial_definition,sensor,sensor_generic
env.v1_138.seating_arrangement,sensor,sensor_generic
env.v1_139.collaboration_space_ratio,sensor,sensor_generic
env.v1_140.temperature_control,sensor,sensor_generic
env.v1_141.lighting_control,sensor,sensor_generic
env.v1_142.acoustic_control,sensor,sensor_generic
env.v1_143.window_operation,sensor,sensor_generic
env.v1_144.workspace_personalization,sensor,sensor_generic
env.v1_145.perceived_control,sensor,sensor_generic
env.v2a_001.color_palette_hue_saturation_lightness_harmony_beyond_cct,sensor,sensor_generic
env.v2a_003.brightness_level_at_eye_vertical_illuminance_vs_task_plane,sensor,sensor_generic
env.v2a_004.brightness_gradients_and_brightness_contrast_ratios,sensor,sensor_generic
env.v2a_005.daylight_presence_sky_view_and_view_to_outside_content,sensor,sensor_generic
env.v2a_006.glare_source_count,sensor,sensor_generic
env.v2a_007.flicker_temporal_modulation_risk_cues_led_drivers,sensor,sensor_generic
env.v2a_008.color_rendering_saturation_rendering,sensor,sensor_generic
env.v2a_009.shadow_softness_hardness,sensor,sensor_generic
env.v2a_010.lighting_control_cues_dimmers_blinds_task_lights,sensor,sensor_generic
env.v2a_011.evening_like_ambience_cues_vs_daytime_like_ambience_cues,sensor,sensor_generic
env.v2a_012.visual_privacy_via_lighting_backlit_silhouettes_vs_evenly_lit_faces,sensor,sensor_generic
env.v2a_013.high_contrast_spotlight_social_exposure_cues,sensor,sensor_generic
env.v2a_014.presence_of_natural_light_patterns,sensor,sensor_generic
env.v2a_015.lighting_temperature_mismatch,sensor,sensor_generic
env.v2a_067.ceiling_height_and_openness_processing_style,sensor,sensor_generic
env.v2a_068.room_scale_cues,sensor,sensor_generic
env.v2a_069.enclosure_ratio_wall_to_window_balance,sensor,sensor_generic
env.v2a_071.exit_visibility_and_path_to_exit_complexity,sensor,sensor_generic
env.v2a_072.blind_corners_vs_transparent_partitions,sensor,sensor_generic
env.v2a_073.distance_to_others,sensor,sensor_generic
env.v2a_074.wayfinding_legibility_straight_sightlines,sensor,sensor_generic
env.v2a_075.spatial_complexity_branching_corridors_vs_simple_loops,sensor,sensor_generic
env.v2a_077.barrier_permeability_half_walls_vs_full_walls,sensor,sensor_generic
env.v2a_079.seating_prospect_facing_entrance_vs_back_to_entrance,sensor,sensor_generic
env.v2a_080.verticality_cues,sensor,sensor_generic
env.v2a_081.personal_safety_affordances_lighting_in_corners,sensor,sensor_generic
env.v2a_082.curvature_prevalence_vs_sharp_angles,sensor,sensor_generic
env.v2a_083.symmetry_and_regularity,sensor,sensor_generic
env.v2a_084.fractal_self_similar_edge_statistics,sensor,sensor_generic
env.v2a_085.clutter_disorder_object_density_occlusion_surface_coverage,sensor,sensor_generic
env.v2a_086.cleanliness_maintenance_stains_damage_wear,sensor,sensor_generic
env.v2a_087.color_diversity_and_saturation,sensor,sensor_generic
env.v2a_088.texture_density,sensor,sensor_generic
env.v2a_089.artwork_density_and_semantic_content,sensor,sensor_generic
env.v2a_090.naturalness_of_materials,sensor,sensor_generic
env.v2a_091.visual_complexity_gradients,sensor,sensor_generic
env.v2a_092.signage_density_informational_load,sensor,sensor_generic
env.v2a_093.visual_affordances_for_organization,sensor,sensor_generic
env.v2a_094.orderliness_of_lines_alignment,sensor,sensor_generic
env.v2a_095.perceptual_mystery_cues,sensor,sensor_generic
env.v2a_096.visible_vegetation_quantity_proximity_and_distribution,sensor,sensor_generic
env.v2a_097.window_view_content_greenery_sky_water_vs_built_up,sensor,sensor_generic
env.v2a_099.blue_space,sensor,sensor_generic
env.v2a_100.prospect_to_distant_views,sensor,sensor_generic
env.v2a_101.natural_ventilation_cues,sensor,sensor_generic
env.v2a_102.natural_sound_sources,sensor,sensor_generic
env.v2a_103.daylight_nature_coupling,sensor,sensor_generic
env.v2a_104.seasonal_cues,sensor,sensor_generic
env.v2a_105.animal_presence_cues,sensor,sensor_generic
env.v2a_106.sociopetal_seating,sensor,sensor_generic
env.v2a_107.density_crowding_proxies_chairs_per_area_people_present_queueing_lines,sensor,sensor_generic
env.v2a_108.surveillance_cues_cameras_exposed_workstations_panoramic_visibility,sensor,sensor_generic
env.v2a_109.privacy_cues_partitions_doors_curtains,sensor,sensor_generic
env.v2a_110.territoriality_markers_name_plates,sensor,sensor_generic
env.v2a_111.norm_cues_formal_vs_informal,sensor,sensor_generic
env.v2a_112.shared_resource_competition_cues,sensor,sensor_generic
env.v2a_113.social_mixing_affordances,sensor,sensor_generic
env.v2a_114.conflict_overhearing_risk_cues,sensor,sensor_generic
env.v2a_115.waiting_time_cues,sensor,sensor_generic
env.v2a_116.user_controls_visible_and_accessible_dimmers_blinds_thermostats,sensor,sensor_generic
env.v2a_117.furniture_adjustability_movable_chairs_tables,sensor,sensor_generic
env.v2a_118.choice_richness_multiple_zones,sensor,sensor_generic
env.v2a_119.personalization_affordances_pinboards,sensor,sensor_generic
env.v2a_120.policy_cues_restricting_control,sensor,sensor_generic
env.v2a_121.control_over_privacy_doors,sensor,sensor_generic
env.v2a_122.control_over_sound_headsets,sensor,sensor_generic
env.v2a_123.control_over_thermal_fans,sensor,sensor_generic
env.v2a_124.control_over_lighting_task_lamps,sensor,sensor_generic
fluency.symmetry,sensor,sensor_generic
isovist.area_25d,sensor,sensor_generic
isovist.compactness_25d,sensor,sensor_generic
isovist.confidence,sensor,sensor_generic
science.organized_complexity,sensor,sensor_generic
science.organized_complexity_bin,sensor,sensor_generic
science.visual_richness,sensor,sensor_generic
science.visual_richness_bin,sensor,sensor_generic
smell.concentration_dfa_exponent,sensor,olfactory_sensing
smell.intensity_rating,sensor,olfactory_sensing
smell.pleasantness_rating,sensor,olfactory_sensing
sound.amplitude_fractal_dimension,sensor,audio_analysis
sound.noise_color_beta,sensor,audio_analysis
sound.one_over_f_slope,sensor,audio_analysis
sound.reverberation_rt60,sensor,audio_analysis
touch.haptic_fractal_dimension,sensor,tactile_sensing
touch.hardness_rating,sensor,tactile_sensing
touch.surface_roughness_spectrum_slope,sensor,tactile_sensing
