tag_id,canonical_name,namespace,extractability_class,sources,relation_count
cnfa.depth.mean_depth,Mean Depth,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.dynamic.optic_flow_magnitude,Optic Flow Magnitude,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.dynamic.path_glare_max,Path Glare Max,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.dynamic.reflection_flow,Reflection Flow,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.dynamic.revelation_rate,Revelation Rate,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.dynamic.texture_gradient,Texture Gradient,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.anomaly_count,Anomaly Count,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.autoencoder_recon_error,Autoencoder Recon Error,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.clutter_density_count,Clutter Density Count,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.color_palette_entropy,Color Palette Entropy,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.compression_ratio,Compression Ratio,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.edge_clarity_mean,Edge Clarity Mean,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.figure_ground_clarity,Figure Ground Clarity,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.hierarchy_depth,Hierarchy Depth,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.map.edge_density,Edge Density,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.map.fractal_dimension,Fractal Dimension,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.map.spatial_entropy,Spatial Entropy,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.map.symmetry,Symmetry,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.pattern_rhythm_regularity,Pattern Rhythm Regularity,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.processing_load_proxy,Processing Load Proxy,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.surprisal_mean,Surprisal Mean,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.symmetry_score_horizontal,Symmetry Score Horizontal,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.visual_entropy_spatial,Visual Entropy Spatial,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fluency.zoning_clarity,Zoning Clarity,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fractal.lacunarity,Lacunarity,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fractal.multifractal_width,Multifractal Width,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fractal.spectral_slope_1overf,Spectral Slope 1Overf,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fractal_dimension,Fractal Dimension,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fractal_dimension_edges,Fractal Dimension Edges,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.fractal_dimension_luminance,Fractal Dimension Luminance,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.geometry.curvature_index,Curvature Index,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.geometry.fractal_curve_intersection,Fractal Curve Intersection,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.geometry.rectilinearity_index,Rectilinearity Index,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.haptic.soft_surface_ratio,Soft Surface Ratio,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.haptic.texture_variation_index,Texture Variation Index,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.layout.opening_ratio,Opening Ratio,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.light.brightness_variance,Brightness Variance,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.light.diffuse_vs_direct_ratio,Diffuse Vs Direct Ratio,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.light.vertical_illuminance_proxy,Vertical Illuminance Proxy,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.light.warm_vs_cool_ratio,Warm Vs Cool Ratio,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.spatial.ceiling_height_avg,Ceiling Height Avg,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.spatial.enclosure_index,Enclosure Index,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.spatial.prospect_to_refuge_ratio,Prospect To Refuge Ratio,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cognitive.coherence,Coherence,cognitive,mixed_metadata,metadata_reported;visual_2d;visual_3d,0
cognitive.complexity,Complexity,cognitive,mixed_metadata,metadata_reported;visual_2d;visual_3d,0
cognitive.error,Error,cognitive,mixed_metadata,metadata_reported;visual_2d;visual_3d,0
cognitive.legibility,Legibility,cognitive,mixed_metadata,metadata_reported;visual_2d;visual_3d,0
cognitive.mystery,Mystery,cognitive,mixed_metadata,metadata_reported;visual_2d;visual_3d,0
cognitive.restoration,Restoration,cognitive,mixed_metadata,metadata_reported;visual_2d;visual_3d,0
color.lab_volume,Lab Volume,color,mixed_sensor,sensor_required;visual_2d;visual_3d,0
color.lightness_contrast,Lightness Contrast,color,mixed_visual,visual_2d;visual_3d,0
color.luminance,Luminance,color,mixed_visual,visual_2d;visual_3d,0
color.perceptual_lightness,Perceptual Lightness,color,mixed_visual,visual_2d;visual_3d,0
color.saturation,Saturation,color,mixed_visual,visual_2d;visual_3d,0
color.warmth,Warmth,color,mixed_visual,visual_2d;visual_3d,0
color.warmth_ratio,Warmth Ratio,color,mixed_visual,visual_2d;visual_3d,0
complexity.edge_density,Edge Density,complexity,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
complexity.shannon_entropy,Shannon Entropy,complexity,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
complexity.spatial_entropy,Spatial Entropy,complexity,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
component.bathroom.fixture.material.brass,Brass,component,mixed_visual,visual_2d;visual_3d,0
component.bathroom.fixture.material.matte_black,Matte Black,component,mixed_visual,visual_2d;visual_3d,0
component.bathroom.fixture.type.rain_showerhead,Rain Showerhead,component,mixed_visual,visual_2d;visual_3d,0
component.ceiling.coffered,Coffered,component,mixed_visual,visual_2d;visual_3d,0
component.ceiling.cove_lighting,Cove Lighting,component,mixed_visual,visual_2d;visual_3d,0
component.ceiling.exposed_beam,Exposed Beam,component,mixed_visual,visual_2d;visual_3d,0
component.ceiling.tray,Tray,component,mixed_visual,visual_2d;visual_3d,0
component.ceiling.vaulted,Vaulted,component,mixed_visual,visual_2d;visual_3d,0
component.kitchen.hardware.material.brass,Brass,component,mixed_visual,visual_2d;visual_3d,0
component.kitchen.hardware.material.chrome,Chrome,component,mixed_visual,visual_2d;visual_3d,0
component.kitchen.hardware.material.matte_black,Matte Black,component,mixed_visual,visual_2d;visual_3d,0
component.kitchen.hardware.type.bar_pull,Bar Pull,component,mixed_visual,visual_2d;visual_3d,0
component.kitchen.hardware.type.handleless,Handleless,component,mixed_visual,visual_2d;visual_3d,0
component.kitchen.hardware.type.knob,Knob,component,mixed_visual,visual_2d;visual_3d,0
component.wall.material.brick_exposed,Brick Exposed,component,mixed_visual,visual_2d;visual_3d,0
component.wall.material.stone_wall,Stone Wall,component,mixed_visual,visual_2d;visual_3d,0
component.wall.material.wood_slat,Wood Slat,component,mixed_visual,visual_2d;visual_3d,0
component.wall.treatment.wainscoting,Wainscoting,component,mixed_visual,visual_2d;visual_3d,0
component.wall.treatment.wallpaper_patterned,Wallpaper Patterned,component,mixed_visual,visual_2d;visual_3d,0
env.ae.artworks_prominent,Artworks Prominent,env,mixed_visual,visual_2d;visual_3d,2
env.ae.barriers/guards_present,Barriers/Guards Present,env,mixed_visual,visual_2d;visual_3d,2
env.ae.clear_circulation_paths,Clear Circulation Paths,env,mixed_visual,visual_2d;visual_3d,2
env.ae.clear_exits/wayfinding_signage,Clear Exits/Wayfinding Signage,env,mixed_sensor,sensor_required;visual_2d;visual_3d,2
env.ae.clear_sightlines,Clear Sightlines,env,mixed_visual,visual_2d;visual_3d,2
env.ae.commercial_branding,Commercial Branding,env,mixed_computed,computed_metric;visual_2d;visual_3d,2
env.ae.compartmentalized_plan,Compartmentalized Plan,env,mixed_visual,visual_2d;visual_3d,2
env.ae.complex_geometry,Complex Geometry,env,mixed_visual,visual_2d;visual_3d,2
env.ae.concrete_prominent,Concrete Prominent,env,mixed_visual,visual_2d;visual_3d,2
env.ae.cool_color_palette,Cool Color Palette,env,mixed_visual,visual_2d;visual_3d,2
env.ae.cool_lighting_(high_cct),Cool Lighting (High CCT),env,mixed_sensor,metadata_reported;sensor_required;visual_2d;visual_3d,2
env.ae.crowded_space,Crowded Space,env,mixed_computed,computed_metric;visual_2d;visual_3d,2
env.ae.curvilinear_forms,Curvilinear Forms,env,mixed_visual,visual_2d;visual_3d,2
env.ae.daylighting,Daylighting,env,mixed_visual,visual_2d;visual_3d,2
env.ae.dynamic_lighting,Dynamic Lighting,env,mixed_sensor,metadata_reported;sensor_required;visual_2d;visual_3d,2
env.ae.fans_visible,Fans Visible,env,mixed_visual,visual_2d;visual_3d,2
env.ae.fractal-like_pattern,Fractal-Like Pattern,env,mixed_computed,computed_metric;visual_2d;visual_3d,2
env.ae.glare_present,Glare Present,env,mixed_computed,computed_metric;metadata_reported;visual_2d;visual_3d,2
env.ae.glass_prominent,Glass Prominent,env,mixed_visual,visual_2d;visual_3d,2
env.ae.hard_reflective_surfaces,Hard Reflective Surfaces,env,visual_2d,visual_2d,2
env.ae.hard_seating,Hard Seating,env,visual_2d,visual_2d,2
env.ae.hazard_indicators,Hazard Indicators,env,sensor_required,sensor_required,2
env.ae.high_ceiling,High Ceiling,env,mixed_metadata,metadata_reported;visual_3d,2
env.ae.high_ceiling_+_hard_surfaces,High Ceiling + Hard Surfaces,env,mixed_metadata,metadata_reported;visual_3d,2
env.ae.high_cleanliness,High Cleanliness,env,computed_metric,computed_metric,2
env.ae.high_clutter,High Clutter,env,mixed_sensor,computed_metric;sensor_required,2
env.ae.high_color_contrast,High Color Contrast,env,computed_metric,computed_metric,2
env.ae.high_color_entropy,High Color Entropy,env,visual_3d,visual_3d,2
env.ae.high_contrast_lighting,High Contrast Lighting,env,mixed_computed,computed_metric;metadata_reported,2
env.ae.high_edge_density,High Edge Density,env,visual_3d,visual_3d,2
env.ae.high_fractal_dimension_(2d),High Fractal Dimension (2D),env,mixed_computed,computed_metric;visual_3d,2
env.ae.high_illuminance,High Illuminance,env,mixed_computed,computed_metric;visual_3d,2
env.ae.high_orderliness,High Orderliness,env,computed_metric,computed_metric,2
env.ae.high_saturation,High Saturation,env,computed_metric,computed_metric,2
env.ae.high_seating_density,High Seating Density,env,visual_3d,visual_3d,2
env.ae.high_spatial_frequency_content,High Spatial Frequency Content,env,mixed_computed,computed_metric;visual_3d,2
env.ae.high_symmetry,High Symmetry,env,mixed_computed,computed_metric;visual_2d;visual_3d,2
env.ae.high_texture_complexity,High Texture Complexity,env,visual_2d,visual_2d,2
env.ae.home-like_decor,Home-like Decor,env,visual_2d,visual_2d,2
env.ae.indoor-outdoor_continuity,Indoor-Outdoor Continuity,env,visual_2d,visual_2d,2
env.ae.indoor_plants,Indoor Plants,env,mixed_visual,visual_2d;visual_3d,2
env.ae.institutional_decor,Institutional Decor,env,visual_2d,visual_2d,2
env.ae.irregular_pattern,Irregular Pattern,env,mixed_sensor,computed_metric;sensor_required,2
env.ae.large_enclosure_volume,Large Enclosure Volume,env,visual_3d,visual_3d,2
env.ae.large_window_area,Large Window Area,env,visual_3d,visual_3d,2
env.ae.low_ceiling,Low Ceiling,env,mixed_metadata,metadata_reported;visual_3d,2
env.ae.low_edge_density,Low Edge Density,env,visual_3d,visual_3d,2
env.ae.low_illuminance,Low Illuminance,env,mixed_computed,computed_metric;visual_3d,2
env.ae.low_orderliness,Low Orderliness,env,mixed_computed,computed_metric;visual_3d,2
env.ae.low_saturation,Low Saturation,env,computed_metric,computed_metric,2
env.ae.low_spatial_frequency_content,Low Spatial Frequency Content,env,visual_3d,visual_3d,2
env.ae.low_symmetry,Low Symmetry,env,mixed_computed,computed_metric;visual_3d,2
env.ae.low_texture_complexity,Low Texture Complexity,env,visual_2d,visual_2d,2
env.ae.maze-like_layout,Maze-Like Layout,env,mixed_sensor,computed_metric;sensor_required;visual_2d,2
env.ae.metal_prominent,Metal Prominent,env,visual_2d,visual_2d,2
env.ae.minimal_signage,Minimal Signage,env,sensor_required,sensor_required,2
env.ae.monochrome/minimal_palette,Monochrome/Minimal Palette,env,visual_2d,visual_2d,2
env.ae.narrow_corridor,Narrow Corridor,env,mixed_computed,computed_metric;metadata_reported;visual_3d,2
env.ae.natural/earthy_palette,Natural/Earthy Palette,env,visual_2d,visual_2d,2
env.ae.naturalistic_forms,Naturalistic Forms,env,visual_3d,visual_3d,2
env.ae.nature_imagery,Nature Imagery,env,visual_2d,visual_2d,2
env.ae.occluded_sightlines,Occluded Sightlines,env,mixed_computed,computed_metric;visual_3d,2
env.ae.open_plan,Open Plan,env,visual_2d,visual_2d,2
env.ae.open_windows,Open Windows,env,visual_2d,visual_2d,2
env.ae.poor_visibility_/_dark_corners,Poor Visibility / Dark Corners,env,computed_metric,computed_metric,2
env.ae.private/enclosed_niche,Private/Enclosed Niche,env,computed_metric,computed_metric,2
env.ae.public/exposed_area,Public/Exposed Area,env,computed_metric,computed_metric,2
env.ae.rectilinear_forms,Rectilinear Forms,env,visual_3d,visual_3d,2
env.ae.religious_symbols,Religious Symbols,env,sensor_required,sensor_required,2
env.ae.repeating_pattern,Repeating Pattern,env,visual_3d,visual_3d,2
env.ae.seating_available,Seating Available,env,sensor_required,sensor_required,2
env.ae.soft_acoustic_treatments,Soft Acoustic Treatments,env,sensor_required,sensor_required,2
env.ae.soft_seating,Soft Seating,env,visual_2d,visual_2d,2
env.ae.sparse_occupancy,Sparse Occupancy,env,visual_2d,visual_2d,2
env.ae.stone/marble_prominent,Stone/Marble Prominent,env,visual_2d,visual_2d,2
env.ae.strong_central_landmark,Strong Central Landmark,env,mixed_computed,computed_metric;visual_3d,2
env.ae.strong_horizontality,Strong Horizontality,env,visual_3d,visual_3d,2
env.ae.strong_verticality,Strong Verticality,env,visual_2d,visual_2d,2
env.ae.surveillance_/_cameras_visible,Surveillance / Cameras Visible,env,visual_2d,visual_2d,2
env.ae.text/information_density_high,Text/Information Density High,env,mixed_sensor,computed_metric;sensor_required;visual_3d,2
env.ae.textiles/soft_furnishings,Textiles/Soft Furnishings,env,visual_2d,visual_2d,2
env.ae.uniform_lighting,Uniform Lighting,env,computed_metric,computed_metric,2
env.ae.view_to_outdoors,View to Outdoors,env,mixed_visual,visual_2d;visual_3d,2
env.ae.visible_dirt/decay,Visible Dirt/Decay,env,visual_2d,visual_2d,2
env.ae.visible_hvac_vents,Visible HVAC Vents,env,mixed_sensor,metadata_reported;sensor_required,2
env.ae.visible_windows,Visible Windows,env,visual_2d,visual_2d,2
env.ae.warm_color_palette,Warm Color Palette,env,visual_2d,visual_2d,2
env.ae.warm_lighting,Warm Lighting,env,mixed_sensor,computed_metric;metadata_reported;sensor_required,2
env.ae.well_maintained,Well Maintained,env,visual_2d,visual_2d,2
env.ae.wood_prominent,Wood Prominent,env,visual_2d,visual_2d,2
env.ae.work_surfaces_present,Work Surfaces Present,env,visual_2d,visual_2d,2
env.ae.worn/degraded,Worn/Degraded,env,visual_2d,visual_2d,2
env.v1_001.illuminance_level_task_surface,Illuminance level (task surface),env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_002.illuminance_level_ambient,Illuminance level (ambient),env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_003.luminance_distribution,Luminance distribution,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_004.contrast_ratio,Contrast ratio,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_005.uniformity_ratio,Uniformity ratio,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_006.daylight_factor,Daylight factor,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_007.daylight_autonomy,Daylight autonomy,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_008.correlated_color_temperature_cct,Correlated color temperature (CCT),env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_009.spectral_power_distribution,Spectral power distribution,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_010.color_rendering_index_cri,Color rendering index (CRI),env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_011.melanopic_lux,Melanopic lux,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_012.dominant_wavelength,Dominant wavelength,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_013.flicker_frequency,Flicker frequency,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_014.flicker_modulation_depth,Flicker modulation depth,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_015.circadian_timing_of_exposure,Circadian timing of exposure,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_016.rate_of_illuminance_change,Rate of illuminance change,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_017.diurnal_variation_pattern,Diurnal variation pattern,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_018.direct_indirect_ratio,Direct/indirect ratio,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_019.light_directionality,Light directionality,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_020.unified_glare_rating_ugr,Unified Glare Rating (UGR),env,mixed_sensor,computed_metric;metadata_reported;sensor_required;visual_2d;visual_3d,0
env.v1_021.shadow_characteristics,Shadow characteristics,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_022.natural_artificial_ratio,Natural/artificial ratio,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_023.point_vs_diffuse_illumination,Point vs. diffuse illumination,env,mixed_computed,computed_metric;visual_2d;visual_3d,0
env.v1_024.window_sky_type_visible,Window/sky type visible,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_025.solar_penetration_depth,Solar penetration depth,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_026.view_to_exterior,View to exterior,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_090.ceiling_height,Ceiling height,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_091.room_volume,Room volume,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_092.floor_area,Floor area,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_093.aspect_ratios,Aspect ratios,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_094.degree_of_enclosure,Degree of enclosure,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_095.boundary_definition,Boundary definition,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_096.visual_permeability,Visual permeability,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_097.spatial_layering,Spatial layering,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_098.visual_access_extent,Visual access extent,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_099.prospect_quality,Prospect quality,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_100.refuge_degree,Refuge degree,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_101.prospect_refuge_balance,Prospect-refuge balance,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_102.defensible_space,Defensible space,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_103.plan_complexity,Plan complexity,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_104.spatial_hierarchy,Spatial hierarchy,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_105.wayfinding_affordances,Wayfinding affordances,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_106.mystery,Mystery,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_107.coherence,Coherence,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_108.legibility,Legibility,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_109.angular_vs_curvilinear,Angular vs. curvilinear,env,mixed_computed,computed_metric;visual_2d;visual_3d,0
env.v1_110.symmetry,Symmetry,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_111.proportion,Proportion,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_112.fractal_dimension,Fractal dimension,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_113.self_similarity_scale_range,Self-similarity scale range,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_114.visual_entropy,Visual entropy,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_115.edge_density,Edge density,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_116.color_diversity,Color diversity,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_117.element_count,Element count,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_118.visual_noise,Visual noise,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_119.pattern_regularity,Pattern regularity,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_120.figure_ground_clarity,Figure-ground clarity,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_121.visual_hierarchy,Visual hierarchy,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_122.vegetation_density,Vegetation density,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_123.vegetation_diversity,Vegetation diversity,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_124.water_features,Water features,env,computed_metric,computed_metric,2
env.v1_125.sky_visibility,Sky visibility,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_126.natural_landforms,Natural landforms,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_127.view_distance_layers,View distance layers,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
env.v1_128.nature_vs_urban_view,Nature vs. urban view,env,mixed_computed,computed_metric;visual_2d;visual_3d,0
env.v1_129.natural_material_proportion,Natural material proportion,env,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
